year,week,State,reported_ILI_cases_per_week
2011,14,Arizona,246
2011,14,California,927
2011,14,Colorado,182
2011,14,Georgia,549
2011,14,Illinois,851
2011,14,New York,251
2011,14,Pennsylvania,264
2011,14,Texas,827
2011,14,Washington,18
2011,15,Arizona,222
2011,15,California,918
2011,15,Colorado,167
2011,15,Georgia,485
2011,15,Illinois,616
2011,15,New York,236
2011,15,Pennsylvania,213
2011,15,Texas,770
2011,15,Washington,25
2011,16,Arizona,257
2011,16,California,736
2011,16,Colorado,153
2011,16,Georgia,490
2011,16,Illinois,640
2011,16,New York,197
2011,16,Pennsylvania,144
2011,16,Texas,683
2011,16,Washington,33
2011,17,Arizona,241
2011,17,California,784
2011,17,Colorado,177
2011,17,Georgia,468
2011,17,Illinois,526
2011,17,New York,123
2011,17,Pennsylvania,142
2011,17,Texas,605
2011,17,Washington,16
2011,18,Arizona,181
2011,18,California,734
2011,18,Colorado,151
2011,18,Georgia,446
2011,18,Illinois,479
2011,18,New York,153
2011,18,Pennsylvania,141
2011,18,Texas,662
2011,18,Washington,16
2011,19,Arizona,156
2011,19,California,672
2011,19,Colorado,113
2011,19,Georgia,488
2011,19,Illinois,575
2011,19,New York,164
2011,19,Pennsylvania,120
2011,19,Texas,730
2011,19,Washington,11
2011,20,Arizona,124
2011,20,California,700
2011,20,Colorado,118
2011,20,Georgia,491
2011,20,Illinois,392
2011,20,New York,57
2011,20,Pennsylvania,113
2011,20,Texas,574
2011,20,Washington,8
2011,21,Arizona,137
2011,21,California,583
2011,21,Colorado,112
2011,21,Georgia,373
2011,21,Illinois,381
2011,21,New York,99
2011,21,Pennsylvania,95
2011,21,Texas,459
2011,21,Washington,2
2011,22,Arizona,104
2011,22,California,581
2011,22,Colorado,88
2011,22,Georgia,414
2011,22,Illinois,516
2011,22,New York,88
2011,22,Pennsylvania,98
2011,22,Texas,487
2011,22,Washington,2
2011,23,Arizona,97
2011,23,California,588
2011,23,Colorado,84
2011,23,Georgia,300
2011,23,Illinois,392
2011,23,New York,8
2011,23,Pennsylvania,111
2011,23,Texas,391
2011,23,Washington,3
2011,24,Arizona,80
2011,24,California,461
2011,24,Colorado,70
2011,24,Georgia,249
2011,24,Illinois,311
2011,24,New York,5
2011,24,Pennsylvania,75
2011,24,Texas,434
2011,24,Washington,1
2011,25,Arizona,86
2011,25,California,436
2011,25,Colorado,55
2011,25,Georgia,214
2011,25,Illinois,307
2011,25,New York,7
2011,25,Pennsylvania,81
2011,25,Texas,378
2011,25,Washington,0
2011,26,Arizona,81
2011,26,California,426
2011,26,Colorado,45
2011,26,Georgia,168
2011,26,Illinois,379
2011,26,New York,7
2011,26,Pennsylvania,64
2011,26,Texas,323
2011,26,Washington,0
2011,27,Arizona,82
2011,27,California,343
2011,27,Colorado,64
2011,27,Georgia,222
2011,27,Illinois,372
2011,27,New York,2
2011,27,Pennsylvania,82
2011,27,Texas,333
2011,27,Washington,0
2011,28,Arizona,95
2011,28,California,383
2011,28,Colorado,56
2011,28,Georgia,173
2011,28,Illinois,244
2011,28,New York,3
2011,28,Pennsylvania,55
2011,28,Texas,384
2011,28,Washington,0
2011,29,Arizona,77
2011,29,California,327
2011,29,Colorado,75
2011,29,Georgia,154
2011,29,Illinois,335
2011,29,New York,7
2011,29,Pennsylvania,60
2011,29,Texas,260
2011,29,Washington,0
2011,30,Arizona,67
2011,30,California,303
2011,30,Colorado,70
2011,30,Georgia,181
2011,30,Illinois,356
2011,30,New York,7
2011,30,Pennsylvania,54
2011,30,Texas,298
2011,30,Washington,0
2011,31,Arizona,91
2011,31,California,91
2011,31,Colorado,93
2011,31,Georgia,186
2011,31,Illinois,351
2011,31,New York,8
2011,31,Pennsylvania,50
2011,31,Texas,317
2011,31,Washington,0
2011,32,Arizona,69
2011,32,California,295
2011,32,Colorado,69
2011,32,Georgia,241
2011,32,Illinois,316
2011,32,New York,6
2011,32,Pennsylvania,62
2011,32,Texas,302
2011,32,Washington,0
2011,33,Arizona,98
2011,33,California,284
2011,33,Colorado,77
2011,33,Georgia,284
2011,33,Illinois,370
2011,33,New York,7
2011,33,Pennsylvania,56
2011,33,Texas,372
2011,33,Washington,0
2011,34,Arizona,128
2011,34,California,350
2011,34,Colorado,78
2011,34,Georgia,406
2011,34,Illinois,398
2011,34,New York,6
2011,34,Pennsylvania,57
2011,34,Texas,388
2011,34,Washington,1
2011,35,Arizona,148
2011,35,California,376
2011,35,Colorado,119
2011,35,Georgia,389
2011,35,Illinois,431
2011,35,New York,10
2011,35,Pennsylvania,67
2011,35,Texas,550
2011,35,Washington,0
2011,36,Arizona,85
2011,36,California,322
2011,36,Colorado,99
2011,36,Georgia,435
2011,36,Illinois,448
2011,36,New York,8
2011,36,Pennsylvania,76
2011,36,Texas,557
2011,36,Washington,1
2011,37,Arizona,118
2011,37,California,420
2011,37,Colorado,121
2011,37,Georgia,467
2011,37,Illinois,439
2011,37,New York,9
2011,37,Pennsylvania,113
2011,37,Texas,591
2011,37,Washington,1
2011,38,Arizona,107
2011,38,California,445
2011,38,Colorado,124
2011,38,Georgia,453
2011,38,Illinois,541
2011,38,New York,22
2011,38,Pennsylvania,139
2011,38,Texas,568
2011,38,Washington,4
2011,39,Arizona,120
2011,39,California,474
2011,39,Colorado,131
2011,39,Georgia,563
2011,39,Illinois,512
2011,39,New York,24
2011,39,Pennsylvania,188
2011,39,Texas,510
2011,39,Washington,0
2011,40,Arizona,138
2011,40,California,568
2011,40,Colorado,153
2011,40,Georgia,578
2011,40,Illinois,886
2011,40,New York,79
2011,40,Pennsylvania,150
2011,40,Texas,772
2011,40,Washington,38
2011,41,Arizona,132
2011,41,California,703
2011,41,Colorado,117
2011,41,Georgia,559
2011,41,Illinois,794
2011,41,New York,81
2011,41,Pennsylvania,161
2011,41,Texas,692
2011,41,Washington,39
2011,42,Arizona,153
2011,42,California,801
2011,42,Colorado,123
2011,42,Georgia,485
2011,42,Illinois,755
2011,42,New York,62
2011,42,Pennsylvania,168
2011,42,Texas,792
2011,42,Washington,32
2011,43,Arizona,179
2011,43,California,797
2011,43,Colorado,127
2011,43,Georgia,389
2011,43,Illinois,772
2011,43,New York,59
2011,43,Pennsylvania,186
2011,43,Texas,833
2011,43,Washington,39
2011,44,Arizona,201
2011,44,California,866
2011,44,Colorado,116
2011,44,Georgia,577
2011,44,Illinois,797
2011,44,New York,83
2011,44,Pennsylvania,206
2011,44,Texas,768
2011,44,Washington,55
2011,45,Arizona,198
2011,45,California,784
2011,45,Colorado,108
2011,45,Georgia,623
2011,45,Illinois,742
2011,45,New York,62
2011,45,Pennsylvania,228
2011,45,Texas,876
2011,45,Washington,41
2011,46,Arizona,250
2011,46,California,992
2011,46,Colorado,152
2011,46,Georgia,569
2011,46,Illinois,819
2011,46,New York,63
2011,46,Pennsylvania,201
2011,46,Texas,915
2011,46,Washington,55
2011,47,Arizona,219
2011,47,California,594
2011,47,Colorado,84
2011,47,Georgia,599
2011,47,Illinois,783
2011,47,New York,36
2011,47,Pennsylvania,193
2011,47,Texas,722
2011,47,Washington,39
2011,48,Arizona,242
2011,48,California,511
2011,48,Colorado,141
2011,48,Georgia,520
2011,48,Illinois,772
2011,48,New York,87
2011,48,Pennsylvania,217
2011,48,Texas,802
2011,48,Washington,42
2011,49,Arizona,223
2011,49,California,883
2011,49,Colorado,137
2011,49,Georgia,440
2011,49,Illinois,694
2011,49,New York,101
2011,49,Pennsylvania,180
2011,49,Texas,608
2011,49,Washington,28
2011,50,Arizona,193
2011,50,California,951
2011,50,Colorado,141
