year,week,State,City,average_temperature,average_precipitation,last_day_of_the_week
2015,36,Illinois,Chicago,78.28571428571429,0.0,2015-09-06
2015,37,Illinois,Chicago,66.42857142857143,0.20285714285714285,2015-09-13
2015,38,Illinois,Chicago,67.78571428571429,0.4257142857142857,2015-09-20
2015,39,Illinois,Chicago,66.5,0.0,2015-09-27
2015,40,Illinois,Chicago,57.714285714285715,0.05857142857142857,2015-10-04
2015,41,Illinois,Chicago,60.07142857142857,0.0071428571428571435,2015-10-11
2015,42,Illinois,Chicago,52.07142857142857,0.004285714285714286,2015-10-18
2015,43,Illinois,Chicago,58.714285714285715,0.16285714285714287,2015-10-25
2015,44,Illinois,Chicago,48.285714285714285,0.1742857142857143,2015-11-01
2015,45,Illinois,Chicago,53.92857142857143,0.022857142857142857,2015-11-08
2015,46,Illinois,Chicago,45.642857142857146,0.06,2015-11-15
2015,47,Illinois,Chicago,39.642857142857146,0.34142857142857136,2015-11-22
2015,48,Illinois,Chicago,38.357142857142854,0.18,2015-11-29
2015,49,Illinois,Chicago,37.42857142857143,0.09285714285714286,2015-12-06
2015,50,Illinois,Chicago,46.142857142857146,0.12142857142857143,2015-12-13
2015,51,Illinois,Chicago,36.42857142857143,0.07571428571428572,2015-12-20
2015,52,Illinois,Chicago,41.0,0.21999999999999997,2015-12-27
2015,53,Illinois,Chicago,28.357142857142858,0.20285714285714287,2016-01-03
2016,1,Illinois,Chicago,28.642857142857142,0.06714285714285714,2016-01-10
2016,2,Illinois,Chicago,18.285714285714285,0.0642857142857143,2016-01-17
2016,3,Illinois,Chicago,18.071428571428573,0.03142857142857143,2016-01-24
2016,4,Illinois,Chicago,33.357142857142854,0.04857142857142858,2016-01-31
2016,5,Illinois,Chicago,32.857142857142854,0.11857142857142858,2016-02-07
2016,6,Illinois,Chicago,15.5,0.02,2016-02-14
2016,7,Illinois,Chicago,35.0,0.0071428571428571435,2016-02-21
2016,8,Illinois,Chicago,36.714285714285715,0.032857142857142856,2016-02-28
